Name;Version;SPDX short identifier;License
ceedling;1.0.1;MIT;The MIT License
constructor;2.0.0;MIT;The MIT License
deep_merge;1.2.2;MIT;The MIT License
diff-lcs;1.5.1;MIT, Artistic-2.0;MIT, Artistic-2.0, GPL-2.0-or-later
diy;1.1.2;MIT;The MIT License
erb;4.0.2; BSD-2-Clause;Ruby, BSD-2-Clause
rake;13.2.1;MIT;The MIT License
require_all;3.0.0;MIT;The MIT License
rr;3.1.1;MIT;The MIT License
rspec;3.13.0;MIT;The MIT License
rspec-core;3.13.2;MIT;The MIT License
rspec-expectations;3.13.3;MIT;The MIT License
rspec-mocks;3.13.2;MIT;The MIT License
rspec-support;3.13.1;MIT;The MIT License
thor;1.3.2; MIT;The MIT License
unicode-display_width;3.1.2;MIT;The MIT License
unicode-emoji;4.0.4;MIT;The MIT License
