Name;                               Version;            Build;                  Channel;    License;                                                                    Latest license check
aenum;                              3.0.0;              pypi_0;                 pypi;       BSD License;                                                                2021-02-02
alabaster;                          0.7.12;             pyhd3eb1b0_0;           defaults;   BSD License;                                                                2021-02-02
appdirs;                            1.4.4;              pypi_0;                 pypi;       MIT;                                                                        2021-02-02
argon2-cffi;                        20.1.0;             py38he774522_1;         defaults;   MIT License (MIT);                                                          2021-02-02
argparse-addons;                    0.6.0;              pypi_0;                 pypi;       MIT;                                                                        2021-02-02
asn1crypto;                         1.4.0;              py_0;                   defaults;   MIT License (MIT);                                                          2021-02-02
astroid;                            2.4.2;              pypi_0;                 pypi;       LGPL;                                                                       2021-02-02
async_generator;                    1.10;               pyhd3eb1b0_0;           defaults;   Apache-2.0 OR MIT;                                                          2021-02-02
attrs;                              20.3.0;             pyhd3eb1b0_0;           defaults;   MIT;                                                                        2021-02-02
babel;                              2.9.0;              pyhd3eb1b0_0;           defaults;   BSD;                                                                        2021-02-02
backcall;                           0.2.0;              pyhd3eb1b0_0;           defaults;   BSD License;                                                                2021-02-02
bitstruct;                          8.11.1;             pypi_0;                 pypi;       MIT;                                                                        2021-02-02
black;                              20.8b1;             pypi_0;                 pypi;       MIT;                                                                        2021-02-02
blas;                               1.0;                mkl;                    defaults;   BSD 3-Clause;                                                               2021-02-02
bleach;                             3.2.3;              pyhd3eb1b0_0;           defaults;   Apache Software License;                                                    2021-02-02
bokeh;                              2.2.3;              py38_0;                 defaults;   BSD 3-Clause;                                                               2021-02-02
bottle;                             0.12.19;            pypi_0;                 pypi;       MIT;                                                                        2021-02-02
brotlipy;                           0.7.0;              py38h2bbff1b_1003;      defaults;   MIT;                                                                        2021-02-02
bzip2;                              1.0.8;              he774522_0;             defaults;   bzip2;                                                                      2021-02-02
ca-certificates;                    2021.1.19;          haa95532_0;             defaults;   MPL 2.0;                                                                    2021-02-02
cantools;                           36.2.0;             pypi_0;                 pypi;       MIT;                                                                        2021-02-02
certifi;                            2020.12.5;          py38haa95532_0;         defaults;   ISC;                                                                        2021-02-02
cffi;                               1.14.4;             py38hcd4344a_0;         defaults;   MIT;                                                                        2021-02-02
chardet;                            4.0.0;              py38haa95532_1003;      defaults;   LGPL;                                                                       2021-02-02
click;                              7.1.2;              pyhd3eb1b0_0;           defaults;   BSD;                                                                        2021-02-02
cloudpickle;                        1.6.0;              py_0;                   defaults;   BSD;                                                                        2021-02-02
colorama;                           0.4.4;              pyhd3eb1b0_0;           defaults;   BSD;                                                                        2021-02-02
conda-package-handling;             1.7.2;              py38h76e460a_0;         defaults;   BSD-3-Clause;                                                               2021-02-02
console_shortcut;                   0.1.1;              4;                      defaults;   BSD;                                                                        2021-02-02
coverage;                           5.4;                pypi_0;                 pypi;       Apache-2.0;                                                                 2021-02-02
crcmod;                             1.7;                pypi_0;                 pypi;       MIT;                                                                        2021-02-02
cryptography;                       3.3.1;              py38hcd4344a_0;         defaults;   Apache-2.0 AND BSD-3-Clause AND PSF-2.0;                                    2021-02-02
cycler;                             0.10.0;             pypi_0;                 pypi;       BSD;                                                                        2021-02-02
cytoolz;                            0.11.0;             py38he774522_0;         defaults;   BSD;                                                                        2021-02-02
