Pin;    Signal;               Description;                                          Usage on |bms-interface|
1;      ``MCU_SPI1.SOMI0``;   \-;                                                   UART channel 1
2;      ``MCU_SPI1.SOMI1``;   \-;                                                   \-
3;      ``MCU_SPI1.SIMO0``;   \-;                                                   UART channel 1
4;      ``MCU_SPI1.SIMO1``;   \-;                                                   \-
5;      ``MCU_SPI1.CLK``;     \-;                                                   UART channel 1
6;      ``MCU_SPI1.CS1``;     \-;                                                   UART channel 1
7;      ``MCU_SPI1.CS2``;     \-;                                                   \-
8;      ``MCU_SPI1.CS3``;     \-;                                                   \-
9;      ``MCU_SPI1.CS4``;     \-;                                                   \-
10;     ``MCU_SPI1.CS5``;     \-;                                                   \-
11;     ``MCU_SPI4.SOMI``;    \-;                                                   UART channel 2
12;     ``MCU_SPI4.SIMO``;    \-;                                                   UART channel 2
13;     ``MCU_SPI4.CLK``;     \-;                                                   UART channel 2
14;     ``MCU_SPI4.CS0``;     \-;                                                   UART channel 2
15;     ``MCU_SPI4.CS1``;     \-;                                                   \-
16;     ``MCU_SPI4.CS2``;     \-;                                                   \-
17;     ``MCU_SPI4.CS3``;     \-;                                                   \-
18;     ``MCU_SPI4.CS4``;     \-;                                                   \-
19;     ``MCU_SPI4.CS5``;     \-;                                                   \-
20;     ``IF_INT0``;         Interrupt pin, connected to MCU GIOA_2;               UART channel 1 [max17841b] interrupt
21;     ``IF_INT1``;         Interrupt pin, connected to MCU GIOA_3;               UART channel 1 [max17841b] enable
22;     ``IF_INT2``;         Interrupt pin, connected to MCU GIOA_4;               UART channel 2 [max17841b] interrupt
23;     ``IF_INT3``;         Interrupt pin, connected to MCU GIOA_6;               UART channel 2 [max17841b] enable
24;     ``IF_GPIO.0``;        GPIO pin, connected to port expander 3 IO1_0;         UART channel 1 [max17841b] enable
25;     ``IF_GPIO.1``;        GPIO pin, connected to port expander 3 IO1_1;         UART channel 2 [max17841b] enable
26;     ``IF_GPIO.2``;        GPIO pin, connected to port expander 3 IO1_2;         \-
27;     ``IF_GPIO.3``;        GPIO pin, connected to port expander 3 IO1_3;         \-
28;     ``IF_GPIO.4``;        GPIO pin, connected to port expander 3 IO1_4;         \-
29;     ``IF_GPIO.5``;        GPIO pin, connected to port expander 3 IO1_5;         \-
30;     ``IF_GPIO.6``;        GPIO pin, connected to port expander 3 IO1_6;         \-
31;     ``IF_GPIO.7``;        GPIO pin, connected to port expander 3 IO1_7;         \-
32;     ``GND``;              Power supply ground;                                  Power supply ground
33;     ``GND``;              Power supply ground;                                  Power supply ground
34;     ``PER_3.3V``;         3.3 |_| V from peripheral SBC;                        3.3 |_| V power supply
35;     ``PER_3.3V``;         3.3 |_| V from peripheral SBC;                        3.3 |_| V power supply
36;     ``PER_5.0V``;         5.0 |_| V from peripheral SBC;                        \-
37;     ``PER_5.0V``;         5.0 |_| V from peripheral SBC;                        \-
38;     ``VBB_12V``;          12 |_| V from buck-boost converter;                   \-
39;     ``VSUP``;             Master supply voltage (after protection circuits);    \-
40;     ``VSUP``;             Master supply voltage (after protection circuits);    \-
