Pin,Signal,Description
1,``MCU_SPI3.SOMI``,\-
2,``MCU_SPI3.SIMO``,\-
3,``MCU_SPI3.CLK``,\-
4,``MCU_SPI3.CS4``,\-
5,``MCU_SPI3.CS5``,\-
6,``MCU_SPI5.SOMI0``,\-
7,``MCU_SPI5.SOMI1``,\-
8,``MCU_SPI5.SOMI2``,\-
9,``MCU_SPI5.SOMI3``,\-
10,``MCU_SPI5.SIMO0``,\-
11,``MCU_SPI5.SIMO1``,\-
12,``MCU_SPI5.SIMO2``,\-
13,``MCU_SPI5.SIMO3``,\-
14,``MCU_SPI5.CLK``,\-
15,``MCU_SPI5.CS0``,\-
16,``MCU_SPI5.CS1``,\-
17,``MCU_SPI5.CS2``,\-
18,``MCU_SPI5.CS3``,\-
19,``EXT_CON.MCU_I2C1.SDA``,\-
20,``EXT_CON.MCU_I2C1.SCL``,\-
21,``EXT_CON.MCU_LIN1.RX``,\-
22,``EXT_CON.MCU_LIN1.TX``,\-
23,``EXT_CON.MCU_LIN2.RX``,\-
24,``EXT_CON.MCU_LIN2.TX``,\-
25,``EXT_CON.MCU_SCI3.RX``,\-
26,``EXT_CON.MCU_SCI3.TX``,\-
27,``EXT_CON.MCU_FRAY1.RX``,\-
28,``EXT_CON.MCU_FRAY1.TX``,\-
29,``EXT_CON.MCU_FRAY1.TXEN``,\-
30,``EXT_CON.MCU_FRAY2.RX``,\-
31,``EXT_CON.MCU_FRAY2.TX``,\-
32,``EXT_CON.MCU_FRAY2.TXEN``,\-
33,``EXT_CON.MCU_CAN3.RX``,\-
34,``EXT_CON.MCU_CAN3.TX``,\-
35,``EXT_CON.MCU_CAN4.RX``,\-
36,``EXT_CON.MCU_CAN4.TX``,\-
37,``EXT_CON.MCU_GIOA7``,\-
38,``EXT_CON.MCU_A11``,\-
39,``EXT_CON.MCU_A4``,\-
40,``EXT_CON.MCU_J1``,\-
41,``EXT_CON.MCU_P2``,\-
42,``EXT_CON.MCU_H4``,\-
43,``EXT_CON.MCU_B3``,\-
44,``EXT_CON.MCU_J4``,\-
45,``EXT_CON.MCU_P1``,\-
46,``EXT_CON.MCU_A14``,\-
47,``EXT_CON.MCU_K19``,\-
48,``EXT_CON.MCU_M16``,\-
49,``EXT_CON.MCU_N16``,\-
50,``DCC1``,\-
51,``EPWM1A``,\-
52,``EPWM1B``,\-
53,``ECAP4``,\-
54,``ECAP5``,\-
55,\-,\-
56,``AD1EVT``,\-
57,``AD2EVT``,\-
58,``AD1IN24``,\-
59,``AD1IN25``,\-
60,``AD1IN26``,\-
61,``AD1IN27``,\-
62,``AD2IN16``,\-
63,``AD2IN17``,\-
64,``AD2IN18``,\-
65,``AD2IN19``,\-
66,``GND``,\-
67,``GND``,\-
68,``WW_ENABLE``,\-
69,``WW_RESET``,\-
70,``EXT_CON.SMSW_LHM``,\-
71,``EXT_CON.SMSW1_IN1``,\-
72,``EXT_CON.SMSW1_IN2``,\-
73,``EXT_CON.SMSW1_IN3``,\-
74,``EXT_CON.SMSW1_IN4``,\-
75,``EXT_CON.SMSW2_IN1``,\-
76,``EXT_CON.SMSW2_IN2``,\-
77,``EXT_CON.SMSW2_IN3``,\-
78,``EXT_CON.SMSW2_IN4``,\-
79,``EXT_CON.SBC_MCU_FS0B``,\-
80,``SBC_MCU_RESET``,\-
81,``SBC_MCU_PGOOD``,\-
82,``EXT_CON.SBC_PER_FS0B``,\-
83,``SBC_PER_RESET``,\-
84,``SBC_PER_PGOOD``,\-
85,``EXT_CON.IL_ENABLE_EXT``,\-
86,``EXT_CON.IL_STATE``,\-
87,``GND``,\-
88,``GND``,\-
89,``PER_1.2V_1``,\-
90,``PER_1.2V_0``,\-
91,``PER_1.2V_1``,\-
92,``PER_1.2V_0``,\-
93,``GND``,\-
94,``PER_3.3V_LDO``,\-
95,``GND``,\-
96,``PER_3.3V_LDO``,\-
97,``GND``,\-
98,``PER_3.3V``,\-
99,``GND``,\-
100,``PER_3.3V``,\-
101,``GND``,\-
102,``PER_5.0V_LDO``,\-
103,``GND``,\-
104,``PER_5.0V_LDO``,\-
105,``MCU_3.3V``,\-
106,``PER_5.0V``,\-
107,``MCU_3.3V``,\-
108,``PER_5.0V``,\-
109,``MCU_5.0V_LDO``,\-
110,``PER_5.74V``,\-
111,``MCU_5.0V_LDO``,\-
112,``PER_5.74V``,\-
113,``GND``,\-
114,``GND``,\-
115,``GND``,\-
116,``GND``,\-
117,``VSUP``,\-
118,``VBB_12V``,\-
119,``VSUP``,\-
120,``VBB_12V``,\-
