Pin,Signal,Description
1,``IF_CON.MCU_SPI1.SOMI0``,\-
2,``IF_CON.MCU_SPI1.SOMI1``,\-
3,``IF_CON.MCU_SPI1.SIMO0``,\-
4,``IF_CON.MCU_SPI1.SIMO1``,\-
5,``IF_CON.MCU_SPI1.CLK``,\-
6,``MCU_SPI1.CS1``,\-
7,``MCU_SPI1.CS2``,\-
8,``MCU_SPI1.CS3``,\-
9,``MCU_SPI1.CS4``,\-
10,``MCU_SPI1.CS5``,\-
11,``IF_CON.MCU_SPI4.SOMI``,\-
12,``IF_CON.MCU_SPI4.SIMO``,\-
13,``IF_CON.MCU_SPI4.CLK``,\-
14,``MCU_SPI4.CS0``,\-
15,``MCU_SPI4.CS1``,\-
16,``MCU_SPI4.CS2``,\-
17,``MCU_SPI4.CS3``,\-
18,``MCU_SPI4.CS4``,\-
19,``MCU_SPI4.CS5``,\-
20,``IF_INT0``,\-
21,``IF_INT1``,\-
22,``IF_INT2``,\-
23,``IF_INT3``,\-
24,``IF_CON.IF_GPIO.0``,\-
25,``IF_CON.IF_GPIO.1``,\-
26,``IF_CON.IF_GPIO.2``,\-
27,``IF_CON.IF_GPIO.3``,\-
28,``IF_CON.IF_GPIO.4``,\-
29,``IF_CON.IF_GPIO.5``,\-
30,``IF_CON.IF_GPIO.6``,\-
31,``IF_CON.IF_GPIO.7``,\-
32,``GND``,\-
33,``GND``,\-
34,``PER_3.3V``,\-
35,``PER_3.3V``,\-
36,``PER_5.0V``,\-
37,``PER_5.0V``,\-
38,``VBB_12V``,\-
39,``VSUP``,\-
40,``VSUP``,\-
