Pin,Signal,Description
1,``DATA0``,\-
2,``DATA1``,\-
3,``DATA2``,\-
4,``DATA3``,\-
5,``DATA4``,\-
6,``DATA5``,\-
7,``DATA6``,\-
8,``DATA7``,\-
9,``DATA8``,\-
10,``DATA9``,\-
11,``DATA10``,\-
12,``DATA11``,\-
13,``DATA12``,\-
14,``DATA13``,\-
15,``DATA14``,\-
16,``DATA15``,\-
17,``ADDR0``,\-
18,``ADDR1``,\-
19,``ADDR2``,\-
20,``ADDR3``,\-
21,``ADDR4``,\-
22,``ADDR5``,\-
23,``ADDR6``,\-
24,``ADDR7``,\-
25,``ADDR8``,\-
26,``ADDR9``,\-
27,``ADDR10``,\-
28,``ADDR11``,\-
29,``ADDR12``,\-
30,``ADDR13``,\-
31,``ADDR14``,\-
32,``ADDR15``,\-
33,``ADDR16``,\-
34,``ADDR17``,\-
35,``ADDR18``,\-
36,``ADDR19``,\-
37,``ADDR20``,\-
38,``ADDR21``,\-
39,``MCU_EMIF.BA0``,\-
40,``MCU_EMIF.BA1``,\-
41,``MCU_EMIF.CKE``,\-
42,``MCU_EMIF.CLK``,\-
43,``MCU_EMIF.CAS``,\-
44,``MCU_EMIF.CS0``,\-
45,``MCU_EMIF.CS2``,\-
46,``MCU_EMIF.CS3``,\-
47,``MCU_EMIF.CS4``,\-
48,``MCU_EMIF.DQM0``,\-
49,``MCU_EMIF.DQM1``,\-
50,``MCU_EMIF.OE``,\-
51,``MCU_EMIF.RAS``,\-
52,``MCU_EMIF.WAIT``,\-
53,``MCU_EMIF.WE``,\-
54,``GND``,\-
55,``GND``,\-
56,``GND``,\-
57,``MCU_3.3V``,\-
58,``MCU_3.3V``,\-
59,``GND``,\-
60,``GND``,\-
