Pin;  Signal;     Direction;  Description
1;    |VBAT-|;    Input;      Battery module negative terminal
2;    |CELL_0+|;  Input;      Cell 0 positive terminal
3;    |CELL_2+|;  Input;      Cell 2 positive terminal
4;    |CELL_4+|;  Input;      Cell 4 positive terminal
5;    |CELL_6+|;  Input;      Cell 6 positive terminal
6;    |CELL_8+|;  Input;      Cell 8 positive terminal
7;    |CELL_10+|; Input;      Cell 10 positive terminal
8;    |VBAT+|;    Input;      Battery module positive terminal
9;    |NC|;       --;         --
10;   |NC|;       --;         --
11;   |NC|;       --;         --
12;   |NC|;       --;         --
13;   |CELL_0-|;  Input;      Cell 0 negative terminal
14;   |CELL_1+|;  Input;      Cell 1 positive terminal
15;   |CELL_3+|;  Input;      Cell 3 positive terminal
16;   |CELL_5+|;  Input;      Cell 5 positive terminal
17;   |CELL_7+|;  Input;      Cell 7 positive terminal
18;   |CELL_9+|;  Input;      Cell 9 positive terminal
19;   |CELL_11+|; Input;      Cell 11 positive terminal
20;   |NC|;       --;         --
21;   |NC|;       --;         --
22;   |NC|;       --;         --
23;   |NC|;       --;         --
24;   |NC|;       --;         --
