Pin;    Signal;         Direction;  Description
1;      T-SENSOR_0;     Input;      NTC Sensor 0 terminal 1
2;      T-SENSOR_1;     Input;      NTC Sensor 1 terminal 1
3;      T-SENSOR_2;     Input;      NTC Sensor 2 terminal 1
4;      T-SENSOR_3;     Input;      NTC Sensor 3 terminal 1
5;      T-SENSOR_4;     Input;      NTC Sensor 4 terminal 1
6;      T-SENSOR_5;     Input;      NTC Sensor 5 terminal 1
7;      T-SENSOR_6;     Input;      NTC Sensor 6 terminal 1
8;      T-SENSOR_7;     Input;      NTC Sensor 7 terminal 1
9;      T-SENSOR_8;     Input;      NTC Sensor 8 terminal 1
10;      T-SENSOR_9;     Input;      NTC Sensor 9 terminal 1
11;      |VBAT-|;     Input;      NTC Sensor 0 terminal 2
12;      |VBAT-|;     Input;      NTC Sensor 1 terminal 2
13;      |VBAT-|;     Input;      NTC Sensor 2 terminal 2
14;      |VBAT-|;     Input;      NTC Sensor 3 terminal 2
15;      |VBAT-|;     Input;      NTC Sensor 4 terminal 2
16;      |VBAT-|;     Input;      NTC Sensor 5 terminal 2
17;      |VBAT-|;     Input;      NTC Sensor 6 terminal 2
18;      |VBAT-|;     Input;      NTC Sensor 7 terminal 2
19;      |VBAT-|;     Input;      NTC Sensor 8 terminal 2
20;      |VBAT-|;     Input;      NTC Sensor 9 terminal 2
