*Common* name;              Task Creator Function;                      User Code Function;                         Comment
|idle-task|;                \-;                                         ``FTSK_RunUserCodeIdle``;                   This task **SHOULD NOT** be modified
|engine-task|;              ``FTSK_CreateTaskEngine``;                  ``FTSK_RunUserCodeEngine``;                 This task **SHOULD NOT** be modified
|1ms-task|;                 ``FTSK_CreateTaskCyclic1ms``;               ``FTSK_RunUserCodeCyclic1ms``;              User code can be put here
|afe-task|;                 ``FTSK_CreateTaskAfe``;                     ``FTSK_RunUserCodeAfe``;                    User code can be put here
|10ms-task|;                ``FTSK_CreateTaskCyclic10ms``;              ``FTSK_RunUserCodeCyclic10ms``;             User code can be put here
|i2c-task|;                 ``FTSK_CreateTaskI2c``;                     ``FTSK_RunUserCodeI2c``;                    User code can be put here
|uart-task|;                ``FTSK_CreateTaskUart``;                    ``FTSK_RunUserCodeUart``;                   Runs the handle flow control function of the UART driver
|emac-task|;                ``FTSK_CreateTaskEmac``;                    ``FTSK_RunUserCodeEmac``;                   Runs the receive function of the EMAC driver
|100ms-task|;               ``FTSK_CreateTaskCyclic100ms``;             ``FTSK_RunUserCodeCyclic100ms``;            User code can be put here
|100ms-algorithms-task|;    ``FTSK_CreateTaskCyclicAlgorithm100ms``;    ``FTSK_RunUserCodeCyclicAlgorithm100ms``;   User code can be put here
