Test Time,Step Time(ms),Voltage(V),Current(A)
2025-01-01T12:20:53,10.0,3.8668,3.9962
2025-01-01T12:21:02,9010.0,3.9,3.9981
2025-01-01T12:21:12,19010.0,3.9141,3.9972
2025-01-01T12:21:22,29010.0,3.9232,3.9977
2025-01-01T12:21:32,39010.0,3.9298,3.9977
2025-01-01T12:21:42,49010.0,3.9351,3.9962
2025-01-01T12:21:52,59010.0,3.9395,3.9964
2025-01-01T12:22:02,69010.0,3.9433,3.9971
2025-01-01T12:22:12,79010.0,3.9468,3.9975
2025-01-01T12:22:22,89010.0,3.9499,3.9991
2025-01-01T12:22:32,99010.0,3.9528,3.9978
2025-01-01T12:22:42,109010.0,3.9556,3.9974
2025-01-01T12:22:52,119010.0,3.9582,3.9968
2025-01-01T12:23:02,129010.0,3.9607,3.9967
2025-01-01T12:23:12,139010.0,3.9632,3.9956
2025-01-01T12:23:22,149010.0,3.9656,3.9975
2025-01-01T12:23:32,159010.0,3.968,3.9972
2025-01-01T12:23:42,169010.0,3.9703,3.9967
2025-01-01T12:23:52,179010.0,3.9727,3.9969
2025-01-01T12:24:02,189010.0,3.975,3.996
2025-01-01T12:24:12,199010.0,3.9773,3.9975
2025-01-01T12:24:22,209010.0,3.9796,3.9959
2025-01-01T12:24:32,219010.0,3.9819,3.9977
2025-01-01T12:24:42,229010.0,3.9843,3.9966
2025-01-01T12:24:52,239010.0,3.9866,3.9967
2025-01-01T12:25:02,249010.0,3.989,3.996
2025-01-01T12:25:12,259010.0,3.9913,3.9961
2025-01-01T12:25:22,269010.0,3.9937,3.997
2025-01-01T12:25:32,279010.0,3.9961,3.9978
2025-01-01T12:25:42,289010.0,3.9985,3.9962
2025-01-01T12:25:52,299010.0,4.0009,3.9969
2025-01-01T12:26:02,309010.0,4.0033,3.996
2025-01-01T12:26:12,319010.0,4.0058,3.9964
2025-01-01T12:26:22,329010.0,4.0083,3.9952
2025-01-01T12:26:32,339010.0,4.0108,3.9984
2025-01-01T12:26:42,349010.0,4.0134,3.9981
2025-01-01T12:26:52,359010.0,4.016,3.9975
2025-01-01T12:27:02,369010.0,4.0186,3.9985
2025-01-01T12:27:12,379010.0,4.0212,3.9971
2025-01-01T12:27:22,389010.0,4.0239,3.9979
2025-01-01T12:27:32,399010.0,4.0265,3.996
2025-01-01T12:27:42,409010.0,4.0293,3.9984
2025-01-01T12:27:52,419010.0,4.032,3.9966
2025-01-01T12:28:02,429010.0,4.0349,3.9992
2025-01-01T12:28:12,439010.0,4.0377,3.9969
2025-01-01T12:28:22,449010.0,4.0405,3.9979
2025-01-01T12:28:32,459010.0,4.0435,3.9954
2025-01-01T12:28:42,469010.0,4.0464,3.9984
2025-01-01T12:28:52,479010.0,4.0494,3.9962
2025-01-01T12:29:02,489010.0,4.0524,3.9974
2025-01-01T12:29:12,499010.0,4.0555,3.9969
2025-01-01T12:29:22,509010.0,4.0585,3.9957
2025-01-01T12:29:32,519010.0,4.0616,3.9969
2025-01-01T12:29:42,529010.0,4.0647,3.9956
2025-01-01T12:29:52,539010.0,4.0679,3.9962
2025-01-01T12:30:02,549010.0,4.0711,3.9963
2025-01-01T12:30:12,559010.0,4.0744,3.9959
2025-01-01T12:30:22,569010.0,4.0776,3.9989
2025-01-01T12:30:32,579010.0,4.0809,3.9953
2025-01-01T12:30:42,589010.0,4.0842,3.9954
2025-01-01T12:30:52,599010.0,4.0875,3.997
2025-01-01T12:31:02,609010.0,4.0909,3.9961
2025-01-01T12:31:12,619010.0,4.0943,3.9955
2025-01-01T12:31:22,629010.0,4.0976,3.9957
2025-01-01T12:31:32,639010.0,4.1011,3.996
2025-01-01T12:31:42,649010.0,4.1044,3.996
2025-01-01T12:31:52,659010.0,4.1079,3.9978
2025-01-01T12:32:02,669010.0,4.1113,3.9972
2025-01-01T12:32:12,679010.0,4.1147,3.9953
2025-01-01T12:32:22,689010.0,4.1182,3.9983
2025-01-01T12:32:32,699010.0,4.1215,3.9955
2025-01-01T12:32:42,709010.0,4.1249,3.9971
2025-01-01T12:32:52,719010.0,4.1283,3.9962
2025-01-01T12:33:02,729010.0,4.1318,3.9956
2025-01-01T12:33:12,739010.0,4.1352,3.9963
2025-01-01T12:33:22,749010.0,4.1385,3.9969
2025-01-01T12:33:32,759010.0,4.1418,3.9956
2025-01-01T12:33:42,769010.0,4.1452,3.9988
2025-01-01T12:33:52,779010.0,4.1484,3.996
2025-01-01T12:34:02,789010.0,4.1517,3.9954
2025-01-01T12:34:12,799010.0,4.1548,3.9961
2025-01-01T12:34:22,809010.0,4.158,3.9985
2025-01-01T12:34:32,819010.0,4.1611,3.9962
2025-01-01T12:34:42,829010.0,4.1642,3.9957
2025-01-01T12:34:52,839010.0,4.1672,3.9957
2025-01-01T12:35:02,849010.0,4.1701,3.9978
2025-01-01T12:35:12,859010.0,4.1729,3.996
2025-01-01T12:35:22,869010.0,4.1757,3.9964
2025-01-01T12:35:32,879010.0,4.1784,3.9968
2025-01-01T12:35:42,889010.0,4.181,3.9964
2025-01-01T12:35:52,899010.0,4.1837,3.9966
2025-01-01T12:36:02,909010.0,4.1861,3.9968
2025-01-01T12:36:12,919010.0,4.1885,3.9985
2025-01-01T12:36:22,929010.0,4.1909,3.9963
2025-01-01T12:36:32,939010.0,4.1931,3.9967
2025-01-01T12:36:42,949010.0,4.1953,3.9956
2025-01-01T12:36:52,959010.0,4.1976,3.9955
2025-01-01T12:37:02,969010.0,4.1996,3.9935
